SMILES,G01,G02,G03,G04,T01,T02,T03,B01,B02,H01
C(CC(C[Pt])C)([Pt])([Pt])C,2,1,1,0,1,0,0,0,1,0
C(CC([Pt])C)(C[Pt])([Pt])C,2,1,0,0,1,1,1,0,0,0
C(C(C[Pt])C)(C[Pt])([Pt])C,2,0,1,0,2,0,1,0,0,0
C(C[Pt])(CCC[Pt])([Pt])C,1,2,0,0,2,0,1,0,0,0
C(CC(C[Pt])([Pt])[Pt])([Pt])([Pt])C,1,1,0,0,1,0,0,0,2,0
C(C[Pt])(CC([Pt])([Pt])[Pt])([Pt])C,1,1,0,0,1,0,1,0,0,1
C(C(C[Pt])([Pt])[Pt])(C[Pt])([Pt])C,1,0,0,0,2,0,1,0,1,0
C(C([Pt])([Pt])[Pt])(C[Pt])([Pt])C,1,0,0,0,1,0,1,0,0,1
C(CC([Pt])([Pt])C)([Pt])(C)C,3,1,0,0,0,0,1,0,1,0
C(C(C[Pt])([Pt])C)([Pt])(C)C,3,0,0,0,1,0,2,0,0,0
C(CC(C[Pt])([Pt])C)([Pt])([Pt])C,2,1,0,0,1,0,1,0,1,0
C(C(C[Pt])([Pt])C)(C[Pt])([Pt])C,2,0,0,0,2,0,2,0,0,0
C(C(C([Pt])([Pt])C)([Pt])C)([Pt])([Pt])C,3,0,0,0,0,0,1,0,2,0
C(C(CC([Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,1,0,0,0,0,1,1,1,0
C(C(C(C[Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,0,0,0,1,1,1,0,1,0
C(C(C([Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,0,0,0,0,0,1,1,1,0
C(C(CC([Pt])([Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,1,0,0,0,0,1,0,1,1
C(C(C(C[Pt])([Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,0,0,0,1,0,1,0,2,0
C(C(C([Pt])([Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,0,0,0,0,0,1,0,1,1
C(C(CC)[Pt])([Pt])[Pt],1,1,0,0,0,1,0,1,0,0
C(C(C([Pt])[Pt])[Pt])([Pt])C,1,0,0,0,0,2,0,1,0,0
C(C(CC[Pt])[Pt])([Pt])[Pt],0,1,0,0,1,1,0,1,0,0
C(C(C([Pt])[Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,1,0,1,1,0
C(CC(C([Pt])[Pt])[Pt])([Pt])[Pt],0,1,0,0,0,1,0,2,0,0
C(C(C(C[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,1,2,0,1,0,0
C(C(C([Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,1,0,2,0,0
C(C(C(CC)C)[Pt])([Pt])[Pt],2,1,1,0,0,1,0,1,0,0
C(C(C([Pt])[Pt])[Pt])(C)C,2,0,1,0,0,1,0,1,0,0
C(C(C(C([Pt])C)C)[Pt])([Pt])[Pt],2,0,1,0,0,2,0,1,0,0
C(C([Pt])[Pt])(CCCC)[Pt],1,3,0,0,0,1,0,1,0,0
C(C(CCC)[Pt])([Pt])[Pt],1,2,0,0,0,1,0,1,0,0
C(CCC(C([Pt])[Pt])[Pt])([Pt])C,1,2,0,0,0,2,0,1,0,0
C(C(C(CC[Pt])C)[Pt])([Pt])[Pt],1,1,1,0,1,1,0,1,0,0
C(C([Pt])[Pt])(CCCC[Pt])[Pt],0,3,0,0,1,1,0,1,0,0
C(CC(C([Pt])[Pt])[Pt])([Pt])C,1,1,0,0,0,2,0,1,0,0
C(C(C(C[Pt])C)[Pt])([Pt])[Pt],1,0,1,0,1,1,0,1,0,0
C(C([Pt])[Pt])(CCC[Pt])[Pt],0,2,0,0,1,1,0,1,0,0
C(CC(C([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,1,0,1
C(C(C([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,1,1,0,1,1,0
C(C(C([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,1,0,1
C(C(C([Pt])[Pt])[Pt])(CC)([Pt])C,2,1,0,0,0,1,1,1,0,0
C(C(C([Pt])[Pt])[Pt])([Pt])(C)C,2,0,0,0,0,1,1,1,0,0
C(C(C(C([Pt])[Pt])[Pt])C)([Pt])([Pt])C,2,0,1,0,0,1,0,1,1,0
C(C([Pt])C)(C(C([Pt])[Pt])[Pt])([Pt])C,2,0,0,0,0,2,1,1,0,0
C(CCC(C([Pt])[Pt])[Pt])([Pt])([Pt])C,1,2,0,0,0,1,0,1,1,0
